,reviews,sentiment
10,"Gung Ho was a good idea, however it is to much to ask Americans viewers to understand the dynamics of American jobs and foreign competition.In this movie the main character Hunt Stevenson(Michael Keaton) goes to Japan and convinces a Japanese auto company to come to America and help his dying Pennslyvania town. Two things come at you.First why would a Japanese company come to America to make cars when they do so ,and so well at that? Secondly can anyone understand that American companies of all types go to third world nations to have their products made to escape American labor costs? It makes the film's premise then that the Number one maker of cars in the world would go to one of its' top competitors(aside from Germany)and put a plant there as unrealistic. Keaton was still in his comedy mode by this time. But he gives a credible performance all the same as he could prove that he could go from comedy to drama in a matter of seconds and still not embarrass himself but Director Ron Howard can't keep this from becoming a TV movie which it ends up being anyway because they have to give the unlikely story a happy ending the politics and problems of Japanese and American relations not withstanding. Gung Ho has a Happy Days and Laverne and Shirley feel to it as the producers of both TV shows made the film and then made the TV version of this movie as well which gives the film its' lightweight feel.The Japanese manager gets to love his American workers and feels he and other Japanese people can learnfrom Americans.His No.2 man Saito who supposedly doesn't like Americans all that much doesn't think so.I would have prefered all the Japanese characters been like Saito than the soft goofball characters they made the Japanese out to be.It would have made the film more interesting.",0
11,"Poorly structured, badly written, loaded with cliches and flat dialogue. Not a single scene shines. The actors struggle with a painfully dull scenario that manages to completely avoid any surprises, plot twists or conflict. You know from the first ten minutes where it's going.<br /><br />For a movie set in NY, it has almost no feeling for the city. There are a dozen other indie movies that manage to make it seem magical on a small budget. This one seems like it was shot in Toronto.<br /><br />If you cast Natasha Henstridge, why dress her in baggy sweaters? Why make Vartan look boring and drab? Where's the attraction? I felt like I was watching a sub-par Christian movie of the week it was so asexual and moralizing.<br /><br />Steven Feder's big success is that he convinced people to make this bland movie.",0
12,"I saw the original ""Chorus Line"" on Broadway God knows how many times and felt the passion, despair and joy come from this live experience in the theater. Michael Bennett knew he would have to re-imagine ""Chorus"" for the screen but could never figure out how to do it. If the man who came up with the show is stumped - that should answer your question. There are some shows that are simply made to be seen live - with an audience. However, Richard Attenborough fresh of the musical work of ""Ghandi"" and dancing with animals in ""Doctor Doolittle"" ended up directing this film which bore little to no resemblance to the stage show. Horrible songs were added (Surprise! Surprise!), great songs were dropped or given to other characters (which didn't make sense). Michael Douglas was mis-cast. People that couldn't dance tried to act and there was the sexy ""Landers"" woman who couldn't sing, act, or dance - I guess she had just finished being Ghandi's wife. The dances by Jeffrey Hornaday look like nothing more than schlock from ""Flashdance"" rejects and nothing works. I sat there stunned at how something so riveting and emotional could be drained to nothing. If you truly love this show and it is coming back to Broadway in 2006 - see it but don't think that the long running musical event that was ""A Chorus Line"" has any thing at all to do with this film.",0
13,"""The Kennel Murder Case"" starts off at a run and doesn't stop until the very end. Everybody had reason to kill the victim, and several people tried. William Powell is terrific as Philo Vance, gentleman detective. Mary Astor is refreshing as the put-upon niece who only wants to marry her Scottish gentleman and enjoy her inheritance. This movie comes paired with ""Nancy Drew, Reporter"" on DVD, which is also fun. If you have to rent the disc (or check it out from your local library), do it. It's pure entertainment!",1
14,"It makes sense to me that this film is getting raves from Hollywood because oftentimes in Hollywood it's all just a popularity contest. It also makes sense when you think that people who are liking the film may just be reacting to the countless songs being spit out at you rather than story content. Yet, this film is overrated and overblown. Eddie Murphy looks just ridiculous. No way do Jeniffer Hudson and Beyonce Knowles give the Oscar rated performance so many have raved over BEFORE the film was even out. I can't even believe that Condon is being set up to be nominated for a Directing Oscar when all he did was put together an album. Glitz does not replace a nothing storyline. A bunch of songs does not a movie make.",0
15,"There is an excellent reason Edison went straight to video: it would have landed in theaters with a crumbling thud. The movie lasted entirely too long and was perilously boring. Just a notch above lowbrow (thanks to Freeman and Spacey, who obviously had a spare two weeks before their next films), the bad guys are as laughable and action as near non-existent as Justin Timberlake's acting. I hate to knock the guy, but the sooner he realizes that pop is his forte, the better.<br /><br />The movie isn't all bad...just mostly. I like the fact that LL Cool J was given what appears to be a shot at being leading man. He deserves it. And, unlike his fellow musician and co-star, he can act. Kevin Spacey is almost always enjoyable as well (you can see him gulp several times as he chews the scenery), and Freeman has the ability to elevate this flick to three stars (out of ten...he's not THAT good).<br /><br />When all is said and done, the ultimate error with this movie is that it is a mundane and tiresome piece of pseudo-action poppycock that fails to keep anyone awake. It also fails to make anyone give a good crap about any of the characters. All in all, t's just plain boring. That being said, rent this when you are suffering from insomnia.",0
16,"I just watched this horrid thing on TV. Needless to say it is one of those movies that you watch just to see how much worse it can get. Frankly, I don't know how much lower the bar can go. <br /><br />The characters are composed of one lame stereo-type after another, and the obvious attempt at creating another ""Bad News Bears"" is embarrassing to say the VERY least.<br /><br />I have seen some prized turkeys in my time, but there is no reason to list any of them since this is ""Numero Uno"".<br /><br />Let me put it to you this way, I watched the Vanilla Ice movie, because it was so bad it was funny. This...this...is NOT even that good.",0
17,"I never seem to write a review on IMDb unless I am extremely surprised at how good, or how bad, a movie is. This film falls into the first category. Every year, I try to see all the nominees for Best Foreign Film at the Oscars, even those that I know I won't like. ""As It Is In Heaven"" seems to fit the bill. The plot sounds sugary and sentimental and slow....For my tastes, which run more towards original, dark and/or daring foreign cinema (Michael Haneke, Francois Ozon, A lot of modern Japanese/Korean cinema) ""As It Is In Heaven"" does not sound particularly interesting....It didn't get released in the USA, so I sat down to watch a VCD I found in Singapore, preparing to ""cross it off the list"". After a dull beginning, ""As It Is In Heaven"" becomes that rare film where you really become inspired by what is happening on screen. Weak points: The characters in the film are pure ""stock"" characters- the Wounded Dreamer, the Town Bully, the Battered Wife, the Loose Woman Yearning for Love, the Repressed Minister....Thankfully, they're largely a likable bunch, as well as being well-written and well-acted. Ingela Olsson, as the minister's wife Inger, would have been nominated for an Oscar had her performance been in English. Strong points: the music is beautiful, and the main song, sung by Gabriella, is truly dramatic and memorable. And keep an eye out for the feisty 87-year old actress playing Olga, who is keeping up with the dancing steps as well as the younger ladies! I won't discuss the ending, but I will say that it makes sense. They're are a lot of emotional things happening in the last hour of the film, and you're not quite sure why they're happening. Although nothing is explained in words, it all makes sense as the movies comes to a fitting crescendo. **** out of *****. Probably the strongest Swedish movie I've ever seen.",1
18,"The traditional Western is synonymous with wide open spaces, clearcut morality, inevitable storylines, the optimistic faith in a hero's ability to shape his own destiny, to escape his past. These qualities reflect directly the American sense of self, the self-shaping Dream, the pushing of boundaries and frontiers, which is why the genre is still alluded to by opportunistic politicians. With some noble exceptions (eg Wellman, Hawks), the Western was healthily free of neuroses or real anxiety. Anthony Mann changed all that forever, and this first foray into the genre is one of the most violent, vivid, complex, not to say exciting Westerns ever made.<br /><br />The traditional Western depends on a hero who exemplifies rugged wholesomeness, whatever misfortunes he may have had in the past, a supporter of order and right, who dominates the film, removes its obstacles, restores harmony in effect; and an obvious villain, who often, ironically, drives the plot, forces the hero into certain actions. The difference between the two is often delineated as mythically simple as the wearing of white or black hats.<br /><br />Mann's background was in film noir, a genre antithetical to wide open spaces and optimism. Noir was neurotically charged, focusing on the dissolution of an unstable protagonist, where morality is blurred, the hero is as often the villain, trapped in an interior-labyrinth of his own making, a passive victim to destiny. Noir is about regress not progress, the interrogating and denying of modes and signs of representation, not the creation and confirmation of them.<br /><br />WINCHESTER 73 is fraught with noir anxiety. Noir is often considered a psychological genre, visualising the traumas of its protagonist's head. 73 does this too, and is all the more disturbing in that that protagonist is lovely, homespun Jimmy Stewart, initiating here his great run of difficult films with Mann and Hitchcock. In many ways, good-natured and sweet, representing right and trying to restore disruptions to the natural order, he is also a near-lunatic who will stop at nothing to achieve murderous revenge, whose relentless quest mirrors Ethan Edwards in THE SEARCHERS in its inhuman persistance, whose human instincts are frayed by this quest, and whose bursts of violence are genuinely terrifying to witness.<br /><br />As in noir, his anxiety has a psychological base - unlike most 'healthy' heroes who have outgrown (symbolically killed) their fathers, McAdam's father was killed before he could complete the process; his chasing his brother is less moral revenge than an anguished protest against stunted growth. The climactic shoot-out is not cathartic: McAdam staggers back into 'normal' society, like he's just witnessed some of the world's most ghastly horrors.<br /><br />What is most unsettling about the film is that it's not really about a hero or a villain at all, but an inanimate piece of weoponry that drives the action. 73 opens with the gun of the title privileged, on display behind a glass window, while its admirers are trapped, squashed, undifferentiated, framed, admiring it outside. Throughout the film, human power is reduced to the most arbitrary of signifiers - names change; Lin and Dutch mime shooting each other because they've no guns; quests lose their moral vitality and their practitioners veer close to madness; armies have to ask for help from Confederate strangers to fight battles; a man becomes worthy of respect only when he mentions his name; another man is revealed as a coward when he abandons his fiancee to the Indians; the gun retains its prestige, power, wholeness.<br /><br />It's not the revenge plot which drives the film, but the story of the gun; this wrenches the film out of conventional expectations, and creates an eerie, alienating, modern feel. We become so caught up in the revenge plot that when we follow, with the gun, another plot entirely, we feel slightly bewildered.<br /><br />This emphasis on the gun, symbol of potent masculinity, actually allows for a critique of that masculinity, revealing pointless elaborate rituals at the expense of society and order; brute capitalist greed; murderous Indian-traders who defraud both seller and enemy; cowards; psychotic killers; before returning to its 'true' owner, a broken hero thoroughly compromised, who has become as murderous as the murderer he seeks. The gun is never imprinted with the name of its owner, not only because there is no fixed owner, but because there is no fixed masculinity, an insight anathema to the traditional Western.<br /><br />73 brilliantly invokes Western myths - Wyatt Earp, Dodge City, the Cavalry, the Civil War, the wide open West - only to undermine them. Earp has an inflated reputation that is all name but never proven - Dodge City is no safer against outlaws than anywhere else; the Cavalry is inept (Custer has just lost Little Big Horn) and the bitter feud of the War is shown to be irrelevant. The myth of the open West is a site for a very closed, inescapable, circular plot which traps its characters, refuses to allow them shape their destiny, but allowing it to shape them.<br /><br />The old John Ford silhouette of riders on a vast mountain is reprised, but signals here not progress but repetition and circularity. But for all its deconstruction, the film is also tangibly vivid in a way few Westerns ever achieve. Mann's incisive technique intrudes his camera in crucial positions, alternating revealing distance with intense examination, making the saloon doors and stagecoaches seem thrillingly alive and lived in.",1
19,"What's to like about this movie???<br /><br />It is in colour! <br /><br />It has some impressive underwater photography! <br /><br />It has a rhythmic musical score in the background that works well at times! <br /><br />So 3 out of 10! <br /><br />Sometimes the music is speeded up! Especially when the shark or the baddies are about to move in! <br /><br />Sometimes it is slowed! As if to convey to the audience it's about to be time for sympathy! <br /><br />As another one bites the dust! As if in a ""spagetti Western"" this has much similarity to! <br /><br />It's not that the Italians can't produce quality productions! There was a series of TV movies with a heading like ""Octopus"" numbered about 1 to 7, screened on SBS TV in Australia in the 1990s about mafia-type conflicts! And they were excellent! But alas, you won't find it here!!!<br /><br />I assumed it was made about 1960s! Sadly it was 20 years out of date, as evidenced by a funeral scene near the end! <br /><br />Then there was the razor-sharp bite of the speedy shark that makes for a red dust repeatedly emerging in the bluish waters! <br /><br />Amidst it all, either in bar-room brawl or in observing the latest sea-side bloody demolition by the relentlessly hungry shark, the mate of the hero looks on through his glasses of little concern, as if he too was bored in his relentless role amidst a lack of much evidence of plot or anyone's character development! <br /><br />At least the hero indicates a fleeting concern belatedly, for his ex-wife! <br /><br />But of course, even if the music fails to awaken our realisation, we have the sinister sound in the baddies' voices, as if to nudge us that another dark deed is about to emerge! <br /><br />And near the end, someone thought of a twist! Just when we thought it was all totally predictable! But stay tuned, folks, for you may find another twist! If you are watching closely! To, more or less, warm your heart! <br /><br />Follow the advice of the hero, and have a few beers along the way! It'll make your viewing of ""Night of the Sharks"" more enjoyable! <br /><br />Then you'll be ready for something like a ""007"" movie to ease your way back into reality when this is over!!!",0
20,"Seems everyone in this film is channeling Woody Allen. They stammer and pause and stammer some more. Only for REALLY die-hard DeNero fans! It tries to appear as edgy and artistic - but it comes off as looking like a very, very low budget film made by college students. The most often used word in the whole film is ""hum"". The film does peg the atmosphere of the late sixties/early seventies though. If you like films where people are CONSTANTLY talking over each other, horrible lighting (even if it is for ""art's sake""), and makes you feel like you are sitting in on a lame political meeting, then you might like this - but you need to be really bored. I found this CD in the dollar bin and now I know why.",0
21,"This is a rip-roaring British comedy movie and one that i could watch over and over again without growing tired. Peter Ustinov has never performed in a bad role and this is no exception, particularly with his dry wit but very clever master plan. Karl Malden has always been an admirer of mine since he starred in 'Streets of San Francisco'. I believe that Maggie Smith is the real star of this film though, appearing to be so inept at everything she tries to do but in truth is so switched on, particularly at the end when she informs everyone that she has invested so much money that she has discovered whilst laundering his clothes. One thing does concern me though, could someone please tell me why i cannot purchase this on either DVD or VHS format in the UK, could someone please assist?",1
22,"I was also on hand for the premiere in Toronto. This film was sort of a consolation when I thought I wouldn't be able to get in to see my first choice. Well, I was totally blown away. By the time I got to the theater I could remember little other than the basic plot of the movie (yes, I actually forgot who was even in it.) Terrific performances from the entire cast. Carrie-Anne Moss was great in a true departure from her days as Trinity. As for Billy Connolly, I think not since Chaplin has an actor played so brilliantly with no lines what-so-ever. The kids were also great. Definitely check this one out if you get the chance.<br /><br />And, by the way, I got to see my first choice anyway- and this was way better.",1
23,"Oh, those sneaky Italians. It's not the first time they based a movie on source material without the permission or knowledge of the, in this case, author of the novel. Of course this is not something that is typically Italian but got done quite a lot in the early days of cinema, mostly because they often thought they would be able to get away with it. James M. Cain's publishers managed to keep this movie off American screens until 1976 but nevertheless the movie itself has grown a bit into a well known classic.<br /><br />The movie is not as great to watch as the 1946 American version but it's a great movie nevertheless. This of course not in the least is due to the movie it's great strong story, that is an intriguing one and provides the movie with some great characters and realism. It follows the novel quite closely and is therefore mostly the same as other movie versions of its story, with of course as a difference that it got set in an Italian environment.<br /><br />Leave it up to the Italians to make a movie about life and the real people in it. These early drama's always have a very realistic feeling over it and are therefore also quite involving to watch. Unfortunately the movie lost some of its power toward the end, when the movie started to feel a bit overlong and dragging in parts. The movie could had easily ended 15 minutes earlier.<br /><br />Nevertheless, I don't really have much else negative to say about this movie. It's simply a greatly made one, based on some equally great and strong source material. Quite an impressive directorial debut for Luchino Visconti, who continued to direct some many more great and memorable Italian dramatic movies.<br /><br />8/10",1
24,"While Fred Schepisi's ""I.Q."" doesn't really have any important qualities, it's still worth seeing. Walter Matthau plays Albert Einstein, trying to help mechanic Ed Walters (Tim Robbins) fall in love with Princeton mathematics doctoral candidate Catherine Boyd (Meg Ryan). Probably the funniest scene is when Dr. Frizzyhead and friends (Lou Jacobi, Gene Saks and Joseph Maher) try to make Ed look like a scientist: he ends up looking like a French impressionist.<br /><br />Obviously little of the movie is historically accurate, but that's not the point. It's not intended as anything except a light comedy, quite the opposite of Robbins's most famous movie from 1994 (The Shawshank Redemption). A movie about Einstein's whole life would have to focus not only on his scientific achievements, but also his political activism, namely how he wrote a letter on behalf of the Scottsboro Nine and came out against nuclear weapons (it got to the point where the FBI kept a file on him).<br /><br />So anyway, this one is acceptable. Also starring Stephen Fry, Tony Shalhoub, Frank Whaley, Charles Durning and Keene Curtis.",1
25,"When John Wayne filmed his Alamo story he had built a complete Alamo set in the town of Brackettsville, Texas which is still there and quite the tourist attraction. As long as that stands, we will have a set for future Alamo interpretations for the screen. One such with Dennis Quaid and Billy Bob Thornton was done in this century.<br /><br />But I would say The Alamo: Thirteen Days To Glory is the best Alamo story filmed I've seen. John Wayne's film is a good one if over-hyped, but it's a John Wayne film with the story redone to fill parameters of screen character of John Wayne. Brian Keith plays Davy Crockett here and gives a fine interpretation of the rollicking frontier character he was.<br /><br />It's a lot closer to Professor Lon Tinkle's book on The Alamo than the Wayne film was and having read the book years ago I can attest to that. Tinkle's book is listed as the source in both films, but Tinkle who was alive back then when the Wayne film was done and he was not pleased with the result.<br /><br />Alec Baldwin was around the right age for young William Barrett Travis, the idealistic freedom fighter who incidentally was a slave owner. Back in the day no one saw the ironic contradiction in that. One thing that was not explored and hasn't been was Travis's hyperactive sex drive. He was the Casanova of the Southwest, he even kept a salacious diary of his libidinal conquests.<br /><br />But the man who always gets the whitewash is Jim Bowie, played here by James Arness. He was a hero at the Alamo to be sure, but his career before the Alamo was that of a scoundrel. He was a smuggler, a slave trader, an all around con man selling land he had questionable title to. But his heroic death certainly redeemed him. No hint of that is in Arness's portrayal nor any others I've seen of Bowie on the screen. And of course he did design the Bowie knife, done to his specifications. That man needed such a weapon.<br /><br />However the main asset that The Alamo: Thirteen Days To Glory has is a full blown portrayal of Antonio De Lopez De Santa Anna, the president of Mexico who comes up personally to put down the rebellion stirred up by the North Americans who've come to settle in Texas at Mexican invitation. Unfortunately those Americans came with some pre-conceived notions about liberty that just hadn't made it that far south, at least liberty for white people. Raul Julia plays Santa Anna who remains an even more controversial figure in Mexican history. He was also quite the scoundrel, but he was the best Mexico produced until a genuine reformer named Benito Juarez came along.<br /><br />This film was the farewell performance of Lorne Greene who appears briefly as General Sam Houston. Greene's not quite my conception of Houston, he really was way too old for the part, Houston was in his early forties in 1836, he was not yet the patriarch of Texas. But within the limits imposed on him, Greene does a fine job.<br /><br />For a romantic telling of The Alamo tale by all means see John Wayne's version, but for historical content I recommend this film highly.",1
26,"Seeing this movie was the most fun I've had at the cinema in a long time. However, I am not able to say whether this is a good or a bad film, because such simple qualifications simply cannot be applied. This picture has everything any movie could ever have. It has characteristics of a romantic comedy, a political commentary, a thriller, a drama, an action movie, a musical, and an absurdist self-conscious art film. It's all in there, adding up to a myth.<br /><br />The basic premise is about an Indian couple, Nandini (Karishma Kapoor) and Shekhar (Sanjay Kapoor), happily living in Canada, who rush to India to visit the husband's parents after a disturbing news report. The rest of the story takes place in India, where the couple find themselves in the midst of a plot of fratricidal violence. At one point, the story borrows from ""Not without my baby,"" but to call Shakti a remake of anything would be an injustice.<br /><br />The ostensible story line takes a backseat to a number of astonishing interruptions, including Shah Rukh Khan's dream of Aishwarya Rai which comes as if out of another movie. In fact, the two stars are on all the posters, but they appear really late in the film, and only Shah Rukh ends up being a real character. Yet he makes up for it with a spirited and truly unexpected performance.<br /><br />Karishma Kapoor is the one with most work to do in this film, and she does an admirable job, having to link up the film's twists and turns with a show of believable emotion. Another notable presence is Nana Patekar, who plays Narsimha, the tyrannical father of the husband Shekhar. Nana Patekar dominates every scene he's in with a scary but nuanced character.<br /><br />The movie is not without its share of realism. Violence is rampant, but truly disturbing in the abuse received by most of the female characters, with Karishma getting soundly beaten on a number of occasions. At times, this violence is clearly disturbing but ultimately it becomes surreal as every dramatic sequence is usually followed by such comic and spectacular turns that the overall effect is nothing but cathartic.<br /><br />I have seen a share of Bollywood releases, and the mixing of genres and incredible plot resolutions are certainly their norm. But ""Shakti"" raises the bar by absorbing an even greater masala without becoming ridiculous. It is a film that achieves the grandeur of a Shakespearian tragedy, where the audience of the rabble and royalty is equally entertained. It is pure, gratuitous cinema, and the director Krishna Vamsi must have had a dream of a good time by throwing in every trick in the book. Perhaps, the all-important message of violence begetting violence and the inspiring extents of motherly love were not the thoughts on my mind, but I came out of watching ""Shakti"" exhilarated. Making movies can be the most fun in the world!",1
27,"Keep in mind I'm a fan of the genre but have only recently seen this film for the first time. How I've overlooked it all this time is a wonder to me. To me this is a better film then the much lauded ""High Noon"". It's a great western with excellent acting and a great story. The DVD is in beautifull black and white with outstanding cinematography. If you like westerns or James Stewart this film is not to be missed.",1
28,"I absolutely loved this film! I was hesitant to watch it at first because I thought it would be too painful. I remember how hard it was when John was shot. However, watching the ""Two of Us"" took me back to a happier time when he was still alive and there was hope and possibility. I think that the writer did an amazing job depicting what ""might have been."" Aidan Quinn was adorable as Paul and met the challenge head on. I was impressed with his accent and mannerisms. Jared Harris is also very talented and was quite believable as John. My favorite parts were the scene in the park and the rooftop scene - which was so poignant. The film left me with both sadness and satisfaction, both of which I feel are appropriate, given the circumstances.",1
